Nom;Adresse;Secteur;Horaires;geo_point
Centre Culturel Alban Minville;1, place Martin Luther King;sud-ouest;FERME;43.564541,1.399076
SOS Médecins;24, route d'Espagne;rive gauche;FERME;43.577526,1.423722
Maison des Associations Niel;3, place Guy Hersant;sud-est;FERME;43.577458,1.444038
Salle associative St Simon;8 place del'eglise Saint Simon;sud-ouest;FERME;43.557472,1.380803
Centre d'animation Pradettes-Bordeblanche;5, rue Yves Roquette;sud-ouest;FERME;43.59769,1.397536
Le Métronum;2, rond point Madame de Mondonville;nord;FERME;43.6414,1.450137
Centre d'animation de Soupetard;63, chemin de Hérédia;est;FERME;43.614242,1.474656
Maison Médicale de garde de la Faourette;142, rue Henri Desbals;rive gauche;FERME;43.581943,1.414055
Salle Achiary;42, rue Henriette Achiary;est;FERME;43.600489,1.474054
Centre culturel Bellegarde;17, rue Bellegarde;centre;FERME;43.608326,1.444614
MJC Amidonniers;2, port de l'Embouchure;centre;FERME;43.609501,1.414482
Espace Saint-Cyprien;56, allées Charles de Fitte;rive gauche;FERME;43.598285,1.430916
Centre d'animation Saint-Simon;10, chemin de Liffard;sud-ouest;FERME;43.561672,1.378991
Centre culturel  Mazades;10, avenue des Mazades;nord;FERME;43.623991,1.438654
Salle Pont des Demoiselles;7, avenue Antoine de Saint-Exupéry;sud-est;FERME;43.587307,1.461827
